date,account_name,campaign_id,campaign_name,country_code,impressions,clicks,cost_micros,conversions,conversions_value,currency_code
2026-07-06,Nordkraft EU,11482093771,NK | Search | Brand,DE,3904,416,121724753,40.85,2433.12,EUR
2026-07-06,Nordkraft EU,11482093772,NK | Search | Brand,NL,1324,144,43792976,11.64,755.94,EUR
2026-07-06,Nordkraft EU,11482093815,NK | Search | Generic DE,DE,10144,439,202740054,10.36,737.42,EUR
2026-07-06,Nordkraft EU,11482093815,NK | Search | Generic DE,AT,1938,76,30083548,1.58,103.76,EUR
2026-07-06,Nordkraft EU,11482094002,NK | PMax | EU Core,DE,20651,374,96344119,5.15,310.55,EUR
2026-07-06,Nordkraft EU,11482094002,NK | PMax | EU Core,FR,12104,213,47887483,2.67,169.89,EUR
2026-07-06,Aurelia Home,11603388120,AH | Shopping | UK,UK,21231,536,98709992,7.81,762.78,EUR
2026-07-06,Aurelia Home,11603388151,AH | Search | Generic,UK,6830,305,153501322,6.38,597.97,EUR
2026-07-06,Aurelia Home,11603388151,AH | Search | Generic,IE,1494,62,28571666,1.27,109.21,EUR
2026-07-06,Volt & Co,11771205433,VC | PMax | US,US,26512,591,185667896,8.26,449.05,EUR
2026-07-06,Volt & Co,11771205477,VC | Search | Brand US,US,4207,567,124182614,51.42,2793.08,EUR
2026-07-07,Nordkraft EU,11482093771,NK | Search | Brand,DE,3589,405,123571581,32.61,2646.8,EUR
2026-07-07,Nordkraft EU,11482093772,NK | Search | Brand,NL,1276,135,42258673,11.64,885.22,EUR
2026-07-07,Nordkraft EU,11482093815,NK | Search | Generic DE,DE,10093,404,180684593,9.28,618.97,EUR
2026-07-07,Nordkraft EU,11482093815,NK | Search | Generic DE,AT,1863,65,25793937,1.3,87.02,EUR
2026-07-07,Nordkraft EU,11482094002,NK | PMax | EU Core,DE,22354,412,99820584,6.16,376.07,EUR
2026-07-07,Nordkraft EU,11482094002,NK | PMax | EU Core,FR,13043,211,45408822,2.43,130.5,EUR
2026-07-07,Aurelia Home,11603388120,AH | Shopping | UK,UK,18621,468,88986659,7.88,757.33,EUR
